STATE,STATEFIPS,COUNTYFIPS,FIPS,State-County Name,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,LS-WGWFr,LS-WSWFr,LS-WFrTo
AL,"01","001","01001",Alabama-Autauga County,"48.612","2.40","0.38","2.78","1.45","0.04","0.00","1.49","2.40","0.00","2.40","1.02","0.04","0.00","1.06","0.09","0.13","0.22"
AL,"01","003","01003",Alabama-Baldwin County,"162.586","36.77","7.05","43.82","16.07","0.36","0.01","16.44","36.77","5.15","41.92","13.59","0.36","0.01","13.96","0.20","0.24","0.44"
AL,"01","005","01005",Alabama-Barbour County,"28.414","0.90","2.69","3.59","5.39","0.01","0.00","5.40","0.90","2.50","3.40","5.09","0.01","0.00","5.10","0.14","0.21","0.35"
AL,"01","007","01007",Alabama-Bibb County,"21.516","0.03","0.06","0.09","0.12","0.02","0.00","0.14","0.03","0.00","0.03","0.02","0.02","0.00","0.04","0.03","0.04","0.07"
AL,"01","009","01009",Alabama-Blount County,"55.725","0.30","0.46","0.76","0.40","0.17","0.02","0.59","0.30","0.27","0.57","0.40","0.17","0.02","0.59","0.46","0.50","0.96"
AL,"01","011","01011",Alabama-Bullock County,"11.055","1.53","1.59","3.12","0.92","0.01","0.00","0.93","1.53","1.53","3.06","0.92","0.01","0.00","0.93","0.06","0.10","0.16"
AL,"01","013","01013",Alabama-Butler County,"20.766","0.04","0.50","0.54","0.51","0.00","0.00","0.51","0.04","0.01","0.05","0.02","0.00","0.00","0.02","0.14","0.21","0.35"
AL,"01","015","01015",Alabama-Calhoun County,"112.141","0.00","4.28","4.28","2.45","0.01","0.00","2.46","0.00","3.83","3.83","1.73","0.01","0.00","1.74","0.12","0.17","0.29"
AL,"01","017","01017",Alabama-Chambers County,"35.460","0.16","0.06","0.22","0.19","0.04","0.00","0.23","0.16","0.00","0.16","0.09","0.04","0.00","0.13","0.08","0.12","0.20"
AL,"01","019","01019",Alabama-Cherokee County,"24.522","0.00","2.62","2.62","2.21","0.01","0.00","2.22","0.00","2.56","2.56","2.11","0.01","0.00","2.12","0.11","0.17","0.28"
AL,"01","021","01021",Alabama-Chilton County,"41.744","0.56","0.08","0.64","0.48","0.21","0.00","0.69","0.56","0.00","0.56","0.32","0.21","0.00","0.53","0.09","0.13","0.22"
AL,"01","023","01023",Alabama-Choctaw County,"14.807","0.00","0.06","0.06","0.10","0.00","0.00","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.05","0.09"
AL,"01","025","01025",Alabama-Clarke County,"27.269","0.02","0.06","0.08","0.14","0.00","0.00","0.14","0.02","0.00","0.02","0.04","0.00","0.00","0.04","0.03","0.05","0.08"
AL,"01","027","01027",Alabama-Clay County,"13.964","0.00","0.11","0.11","0.22","0.00","0.00","0.22","0.00","0.09","0.09","0.16","0.00","0.00","0.16","0.14","0.18","0.32"
AL,"01","029","01029",Alabama-Cleburne County,"14.460","0.00","0.06","0.06","0.10","0.00","0.00","0.10","0.00","0.06","0.06","0.10","0.00","0.00","0.10","0.17","0.20","0.37"
AL,"01","031","01031",Alabama-Coffee County,"45.567","0.65","2.81","3.46","5.71","0.05","0.00","5.76","0.65","2.62","3.27","5.41","0.05","0.00","5.46","0.36","0.48","0.84"
AL,"01","033","01033",Alabama-Colbert County,"54.660","0.94","1.40","2.34","2.64","0.00","0.00","2.64","0.94","0.94","1.88","2.05","0.00","0.00","2.05","0.13","0.17","0.30"
AL,"01","035","01035",Alabama-Conecuh County,"13.257","0.00","0.06","0.06","0.10","0.00","0.00","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.11","0.18"
AL,"01","037","01037",Alabama-Coosa County,"11.162","0.01","0.02","0.03","0.07","0.01","0.00","0.08","0.01","0.00","0.01","0.01","0.01","0.00","0.02","0.03","0.04","0.07"
AL,"01","039","01039",Alabama-Covington County,"37.003","2.13","0.44","2.57","1.54","0.05","0.00","1.59","2.13","0.30","2.43","1.28","0.05","0.00","1.33","0.26","0.36","0.62"
AL,"01","041","01041",Alabama-Crenshaw County,"13.727","0.00","0.38","0.38","0.63","0.00","0.00","0.63","0.00","0.38","0.38","0.63","0.00","0.00","0.63","0.24","0.34","0.58"
AL,"01","043","01043",Alabama-Cullman County,"79.886","1.11","0.15","1.26","0.70","0.04","0.00","0.74","1.11","0.06","1.17","0.49","0.04","0.00","0.53","1.13","1.10","2.23"
AL,"01","045","01045",Alabama-Dale County,"48.748","0.41","2.04","2.45","4.19","0.04","0.01","4.24","0.41","1.60","2.01","3.49","0.04","0.01","3.54","0.14","0.19","0.33"
AL,"01","047","01047",Alabama-Dallas County,"44.366","0.82","1.24","2.06","2.06","0.01","0.00","2.07","0.82","1.10","1.92","1.80","0.01","0.00","1.81","0.16","0.24","0.40"
AL,"01","049","01049",Alabama-De Kalb County,"67.271","0.83","1.46","2.29","1.22","0.01","0.00","1.23","0.83","1.30","2.13","0.91","0.01","0.00","0.92","0.96","1.08","2.04"
AL,"01","051","01051",Alabama-Elmore County,"73.937","0.33","0.94","1.27","1.34","0.01","0.00","1.35","0.33","0.74","1.07","0.98","0.01","0.00","0.99","0.10","0.12","0.22"
AL,"01","053","01053",Alabama-Escambia County,"38.082","0.56","0.86","1.42","1.39","0.02","0.00","1.41","0.56","0.73","1.29","1.19","0.02","0.00","1.21","0.06","0.09","0.15"
AL,"01","055","01055",Alabama-Etowah County,"103.189","0.10","0.94","1.04","1.15","0.04","0.00","1.19","0.10","0.19","0.29","0.24","0.04","0.00","0.28","0.20","0.25","0.45"
AL,"01","057","01057",Alabama-Fayette County,"18.228","0.00","0.06","0.06","0.10","0.00","0.00","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.09","0.11","0.20"
AL,"01","059","01059",Alabama-Franklin County,"30.737","0.28","0.22","0.50","0.56","0.00","0.00","0.56","0.28","0.14","0.42","0.40","0.00","0.00","0.40","0.33","0.44","0.77"
AL,"01","061","01061",Alabama-Geneva County,"25.735","1.71","2.22","3.93","6.90","0.10","0.01","7.01","1.71","2.20","3.91","6.84","0.10","0.01","6.95","0.37","0.48","0.85"
AL,"01","063","01063",Alabama-Greene County,"9.661","0.03","0.17","0.20","0.13","0.00","0.00","0.13","0.03","0.11","0.14","0.13","0.00","0.00","0.13","0.10","0.15","0.25"
AL,"01","065","01065",Alabama-Hale County,"18.316","0.02","0.08","0.10","0.11","0.00","0.00","0.11","0.02","0.02","0.04","0.01","0.00","0.00","0.01","0.15","0.18","0.33"
AL,"01","067","01067",Alabama-Henry County,"16.610","1.37","1.57","2.94","3.81","0.02","0.00","3.83","1.37","1.51","2.88","3.71","0.02","0.00","3.73","0.10","0.15","0.25"
AL,"01","069","01069",Alabama-Houston County,"94.249","6.36","2.23","8.59","10.75","0.94","0.09","11.78","6.36","1.56","7.92","10.01","0.94","0.09","11.04","0.13","0.19","0.32"
AL,"01","071","01071",Alabama-Jackson County,"53.650","0.04","0.67","0.71","0.95","0.00","0.00","0.95","0.04","0.34","0.38","0.44","0.00","0.00","0.44","0.32","0.40","0.72"
AL,"01","073","01073",Alabama-Jefferson County,"657.229","0.09","2.73","2.82","3.66","0.00","0.00","3.66","0.09","0.01","0.10","0.03","0.00","0.00","0.03","0.03","0.05","0.08"
AL,"01","075","01075",Alabama-Lamar County,"14.962","0.01","0.27","0.28","0.63","0.00","0.00","0.63","0.01","0.21","0.22","0.53","0.00","0.00","0.53","0.06","0.07","0.13"
AL,"01","077","01077",Alabama-Lauderdale County,"87.691","0.74","0.43","1.17","1.15","0.01","0.00","1.16","0.74","0.10","0.84","0.63","0.01","0.00","0.64","0.20","0.28","0.48"
AL,"01","079","01079",Alabama-Lawrence County,"34.605","0.37","1.42","1.79","2.38","0.00","0.00","2.38","0.37","1.34","1.71","2.22","0.00","0.00","2.22","0.32","0.43","0.75"
AL,"01","081","01081",Alabama-Lee County,"123.254","0.36","1.24","1.60","1.98","0.00","0.00","1.98","0.36","0.65","1.01","1.25","0.00","0.00","1.25","0.04","0.06","0.10"
