STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo
AL,"01",Autauga County,"001","01001","2010","54.571","2.88","0.06","2.94","1.90","0.03","0.02","1.95","2.88","0.00","2.88","1.80","0.03","0.02","1.85","0.06","0.09","0.15"
AL,"01",Baldwin County,"003","01003","2010","182.265","32.30","6.66","38.96","12.44","0.43","0.17","13.04","32.30","5.07","37.37","10.30","0.43","0.17","10.90","0.16","0.19","0.35"
AL,"01",Barbour County,"005","01005","2010","27.457","0.46","1.71","2.17","3.23","0.07","0.00","3.30","0.46","1.52","1.98","2.93","0.07","0.00","3.00","0.15","0.23","0.38"
AL,"01",Bibb County,"007","01007","2010","22.915","0.63","0.06","0.69","0.40","0.00","0.00","0.40","0.63","0.00","0.63","0.30","0.00","0.00","0.30","0.03","0.04","0.07"
AL,"01",Blount County,"009","01009","2010","57.322","0.12","0.36","0.48","0.96","0.01","0.00","0.97","0.12","0.12","0.24","0.55","0.01","0.00","0.56","0.47","0.51","0.98"
AL,"01",Bullock County,"011","01011","2010","10.914","0.29","0.32","0.61","0.24","0.00","0.00","0.24","0.29","0.29","0.58","0.18","0.00","0.00","0.18","0.05","0.09","0.14"
AL,"01",Butler County,"013","01013","2010","20.947","0.02","0.32","0.34","0.44","0.00","0.00","0.44","0.02","0.01","0.03","0.06","0.00","0.00","0.06","0.16","0.24","0.40"
AL,"01",Calhoun County,"015","01015","2010","118.572","0.00","4.09","4.09","3.35","0.00","0.00","3.35","0.00","3.44","3.44","2.47","0.00","0.00","2.47","0.13","0.19","0.32"
AL,"01",Chambers County,"017","01017","2010","34.215","0.17","0.03","0.20","0.39","0.00","0.00","0.39","0.17","0.00","0.17","0.33","0.00","0.00","0.33","0.07","0.11","0.18"
AL,"01",Cherokee County,"019","01019","2010","25.989","0.00","1.24","1.24","1.45","0.00","0.00","1.45","0.00","1.18","1.18","1.35","0.00","0.00","1.35","0.11","0.17","0.28"
AL,"01",Chilton County,"021","01021","2010","43.643","1.12","0.03","1.15","0.71","0.05","0.01","0.77","1.12","0.00","1.12","0.65","0.05","0.01","0.71","0.07","0.11","0.18"
AL,"01",Choctaw County,"023","01023","2010","13.859","0.00","0.03","0.03","0.06","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.05","0.09"
AL,"01",Clarke County,"025","01025","2010","25.833","0.02","0.05","0.07","0.16","0.00","0.00","0.16","0.02","0.00","0.02","0.05","0.00","0.00","0.05","0.03","0.05","0.08"
AL,"01",Clay County,"027","01027","2010","13.932","0.00","0.06","0.06","0.10","0.00","0.00","0.10","0.00","0.04","0.04","0.04","0.00","0.00","0.04","0.13","0.17","0.30"
AL,"01",Cleburne County,"029","01029","2010","14.972","0.00","0.16","0.16","0.45","0.00","0.00","0.45","0.00","0.16","0.16","0.45","0.00","0.00","0.45","0.14","0.16","0.30"
AL,"01",Coffee County,"031","01031","2010","49.948","0.70","2.97","3.67","4.84","0.02","0.00","4.86","0.70","2.81","3.51","4.58","0.02","0.00","4.60","0.34","0.46","0.80"
AL,"01",Colbert County,"033","01033","2010","54.428","0.89","1.30","2.19","3.20","0.00","0.00","3.20","0.89","0.89","1.78","2.66","0.00","0.00","2.66","0.13","0.16","0.29"
AL,"01",Conecuh County,"035","01035","2010","13.228","0.06","0.03","0.09","0.19","0.00","0.00","0.19","0.06","0.00","0.06","0.13","0.00","0.00","0.13","0.06","0.10","0.16"
AL,"01",Coosa County,"037","01037","2010","11.539","0.01","0.02","0.03","0.08","0.00","0.00","0.08","0.01","0.00","0.01","0.02","0.00","0.00","0.02","0.02","0.03","0.05"
AL,"01",Covington County,"039","01039","2010","37.765","0.79","1.17","1.96","1.86","0.02","0.00","1.88","0.79","1.05","1.84","1.60","0.02","0.00","1.62","0.25","0.34","0.59"
AL,"01",Crenshaw County,"041","01041","2010","13.906","0.00","0.25","0.25","0.67","0.01","0.00","0.68","0.00","0.23","0.23","0.61","0.01","0.00","0.62","0.28","0.39","0.67"
AL,"01",Cullman County,"043","01043","2010","80.406","1.08","1.17","2.25","1.51","0.01","0.01","1.53","1.08","1.08","2.16","1.30","0.01","0.01","1.32","1.04","1.01","2.05"
AL,"01",Dale County,"045","01045","2010","50.251","0.87","1.29","2.16","3.00","0.02","0.00","3.02","0.87","1.13","2.00","2.74","0.02","0.00","2.76","0.18","0.24","0.42"
AL,"01",Dallas County,"047","01047","2010","43.820","0.37","2.05","2.42","3.49","0.01","0.01","3.51","0.37","1.91","2.28","3.23","0.01","0.01","3.25","0.12","0.18","0.30"
AL,"01",De Kalb County,"049","01049","2010","71.109","0.10","0.48","0.58","1.35","0.01","0.01","1.37","0.10","0.29","0.39","0.99","0.01","0.01","1.01","0.97","1.09","2.06"
AL,"01",Elmore County,"051","01051","2010","79.303","0.42","1.14","1.56","2.60","0.02","0.00","2.62","0.42","0.62","1.04","1.92","0.02","0.00","1.94","0.08","0.09","0.17"
