STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,2005,2010,2015
AL,1,Autauga County,1,01001,2.4,2.88,3.36
AL,1,Baldwin County,3,01003,41.92,37.37,53.95
AL,1,Barbour County,5,01005,3.4,1.98,2.49
AL,1,Bibb County,7,01007,0.03,0.63,0.03
AL,1,Blount County,9,01009,0.57,0.24,0.35
AL,1,Bullock County,11,01011,3.06,0.58,1.84
AL,1,Butler County,13,01013,0.05,0.03,0.01
AL,1,Calhoun County,15,01015,3.83,3.44,1.39
AL,1,Chambers County,17,01017,0.16,0.17,0.07
AL,1,Cherokee County,19,01019,2.56,1.18,2.66
AL,1,Chilton County,21,01021,0.56,1.12,0.33
AL,1,Choctaw County,23,01023,0,0,0.01
AL,1,Clarke County,25,01025,0.02,0.02,0.02
AL,1,Clay County,27,01027,0.09,0.04,0.02
AL,1,Cleburne County,29,01029,0.06,0.16,0.14
AL,1,Coffee County,31,01031,3.27,3.51,3.4
AL,1,Colbert County,33,01033,1.88,1.78,1.56
AL,1,Conecuh County,35,01035,0,0.06,0.05
AL,1,Coosa County,37,01037,0.01,0.01,0
AL,1,Covington County,39,01039,2.43,1.84,2.95
AL,1,Crenshaw County,41,01041,0.38,0.23,0.48
AL,1,Cullman County,43,01043,1.17,2.16,0.56
AL,1,Dale County,45,01045,2.01,2,1.45
AL,1,Dallas County,47,01047,1.92,2.28,2.79
AL,1,De Kalb County,49,01049,2.13,0.39,1.97
AL,1,Elmore County,51,01051,1.07,1.04,2.05
AL,1,Escambia County,53,01053,1.29,2.91,1.33
AL,1,Etowah County,55,01055,0.29,0.25,0.03
AL,1,Fayette County,57,01057,0,0.14,0.21
AL,1,Franklin County,59,01059,0.42,0.07,0.58
AL,1,Geneva County,61,01061,3.91,3.64,5.37
AL,1,Greene County,63,01063,0.14,0.1,0.35
AL,1,Hale County,65,01065,0.04,0.03,0.91
AL,1,Henry County,67,01067,2.88,3.57,5.71
AL,1,Houston County,69,01069,7.92,9.65,6.25
AL,1,Jackson County,71,01071,0.38,0.89,0.46
AL,1,Jefferson County,73,01073,0.1,0.1,0.19
